Wavelength nm.	promissao_Amostra_09a_vs_Buffer	promissao_Amostra_09b_vs_Buffer	promissao_Amostra_14a_vs_Buffer	promissao_Amostra_14b_vs_Buffer	promissao_Amostra_16a_vs_Buffer	promissao_Amostra_16b_vs_Buffer	promissao_Amostra_17a_vs_Buffer	promissao_Amostra_17b_vs_Buffer	promissao_Amostra_18a_vs_Buffer	promissao_Amostra_18b_vs_Buffer	promissao_Amostra_19a_vs_Buffer	promissao_Amostra_19b_vs_Buffer	promissao_Amostra_21a_vs_Buffer	promissao_Amostra_21b_vs_Buffer	promissao_Ar_vs_Ar_1	promissao_Ar_vs_Ar_2	promissao_Ar_vs_Ar_3	promissao_Ar_vs_Ar_4	promissao_Ar_vs_Buffer_1	promissao_Ar_vs_Buffer_2	promissao_Ar_vs_Buffer_2_2	promissao_Ar_vs_Buffer_3	promissao_Ar_vs_Buffer_3_filtro	promissao_Ar_vs_Buffer_4	promissao_Ar_vs_Buffer_4_filtro	promissao_Ar_vs_Buffer_5	promissao_Ar_vs_Buffer_6	promissao_Ar_vs_Buffer_7	promissao_Ar_vs_Buffer_8
517,00	0,046468	0,046728	0,048714	0,050113	0,066416	0,071852	0,051651	0,058084	0,065099	0,067618	0,057586	0,055627	0,059443	0,051067	-0,000083	-0,000050	0,000028	-0,000064	0,034867	0,034522	0,034903	0,035129	0,036380	0,035506	0,034570	0,035264	0,035191	0,035428	0,034440
518,00	0,046387	0,046660	0,048639	0,050039	0,066278	0,071704	0,051559	0,057967	0,064998	0,067482	0,057475	0,055545	0,059276	0,050979	-0,000055	-0,000046	0,000028	-0,000042	0,034851	0,034516	0,034909	0,035100	0,036378	0,035476	0,034570	0,035271	0,035196	0,035424	0,034452
519,00	0,046320	0,046591	0,048538	0,049976	0,066157	0,071558	0,051478	0,057859	0,064859	0,067362	0,057365	0,055428	0,059097	0,050847	-0,000045	-0,000051	0,000030	-0,000028	0,034831	0,034522	0,034923	0,035098	0,036371	0,035461	0,034570	0,035270	0,035203	0,035393	0,034456
520,00	0,046234	0,046512	0,048461	0,049913	0,066027	0,071425	0,051398	0,057756	0,064702	0,067199	0,057231	0,055294	0,058935	0,050743	-0,000035	-0,000048	0,000025	-0,000005	0,034843	0,034539	0,034918	0,035081	0,036364	0,035448	0,034566	0,035256	0,035174	0,035351	0,034437
521,00	0,046146	0,046411	0,048376	0,049826	0,065923	0,071305	0,051335	0,057659	0,064527	0,067033	0,057079	0,055124	0,058781	0,050650	-0,000045	-0,000060	-0,000010	0,000016	0,034845	0,034536	0,034897	0,035075	0,036371	0,035435	0,034548	0,035214	0,035123	0,035335	0,034425
522,00	0,046052	0,046318	0,048285	0,049728	0,065812	0,071209	0,051260	0,057558	0,064386	0,066881	0,056925	0,054979	0,058642	0,050592	-0,000052	-0,000063	-0,000033	0,000019	0,034846	0,034531	0,034879	0,035057	0,036362	0,035421	0,034535	0,035184	0,035085	0,035325	0,034435
523,00	0,045964	0,046255	0,048208	0,049662	0,065747	0,071109	0,051230	0,057491	0,064248	0,066737	0,056798	0,054834	0,058500	0,050511	-0,000039	-0,000030	-0,000046	0,000039	0,034828	0,034516	0,034885	0,035065	0,036370	0,035433	0,034547	0,035157	0,035063	0,035330	0,034466
524,00	0,045893	0,046201	0,048133	0,049601	0,065657	0,070990	0,051167	0,057393	0,064117	0,066602	0,056679	0,054721	0,058370	0,050425	-0,000045	-0,000020	-0,000056	0,000068	0,034838	0,034534	0,034892	0,035052	0,036342	0,035420	0,034574	0,035149	0,035048	0,035335	0,034486
525,00	0,045818	0,046121	0,048046	0,049533	0,065571	0,070885	0,051105	0,057286	0,063991	0,066476	0,056576	0,054621	0,058229	0,050320	-0,000054	-0,000008	-0,000043	0,000077	0,034838	0,034535	0,034874	0,035057	0,036318	0,035421	0,034551	0,035154	0,035039	0,035343	0,034493
526,00	0,045722	0,046017	0,047963	0,049459	0,065483	0,070779	0,051024	0,057167	0,063872	0,066365	0,056463	0,054514	0,058093	0,050219	-0,000064	-0,000028	-0,000038	0,000044	0,034851	0,034518	0,034851	0,035030	0,036282	0,035374	0,034527	0,035140	0,035026	0,035325	0,034467
527,00	0,045623	0,045909	0,047881	0,049369	0,065424	0,070702	0,050968	0,057085	0,063767	0,066250	0,056345	0,054405	0,057944	0,050124	-0,000062	-0,000017	-0,000022	-0,000002	0,034853	0,034491	0,034841	0,035016	0,036265	0,035372	0,034488	0,035121	0,035032	0,035313	0,034449
528,00	0,045540	0,045853	0,047817	0,049314	0,065381	0,070658	0,050945	0,057030	0,063668	0,066140	0,056228	0,054286	0,057788	0,050035	-0,000053	-0,000001	-0,000033	-0,000033	0,034860	0,034480	0,034859	0,035017	0,036265	0,035366	0,034516	0,035093	0,035038	0,035295	0,034420
529,00	0,045462	0,045783	0,047744	0,049242	0,065349	0,070632	0,050911	0,056957	0,063576	0,066031	0,056121	0,054207	0,057638	0,049949	-0,000066	0,000018	-0,000022	-0,000059	0,034849	0,034471	0,034867	0,035013	0,036255	0,035379	0,034533	0,035091	0,035038	0,035283	0,034402
530,00	0,045400	0,045725	0,047680	0,049202	0,065316	0,070619	0,050892	0,056891	0,063491	0,065933	0,056019	0,054117	0,057515	0,049859	-0,000077	0,000042	-0,000005	-0,000071	0,034853	0,034490	0,034895	0,035022	0,036261	0,035389	0,034546	0,035100	0,035020	0,035259	0,034381
531,00	0,045328	0,045648	0,047612	0,049150	0,065312	0,070583	0,050869	0,056820	0,063406	0,065840	0,055944	0,054048	0,057418	0,049773	-0,000068	0,000055	0,000028	-0,000074	0,034861	0,034484	0,034911	0,035013	0,036249	0,035380	0,034529	0,035110	0,035001	0,035258	0,034377
532,00	0,045284	0,045572	0,047533	0,049098	0,065296	0,070563	0,050857	0,056790	0,063314	0,065736	0,055853	0,053933	0,057315	0,049700	-0,000064	0,000069	0,000017	-0,000071	0,034869	0,034490	0,034910	0,035017	0,036246	0,035375	0,034503	0,035090	0,034980	0,035247	0,034395
533,00	0,045205	0,045504	0,047461	0,049032	0,065271	0,070515	0,050809	0,056737	0,063238	0,065658	0,055782	0,053848	0,057219	0,049644	-0,000052	0,000042	0,000000	-0,000076	0,034865	0,034462	0,034897	0,034978	0,036221	0,035352	0,034500	0,035066	0,034968	0,035234	0,034390
534,00	0,045129	0,045436	0,047396	0,048959	0,065246	0,070485	0,050769	0,056686	0,063174	0,065574	0,055696	0,053762	0,057165	0,049614	-0,000066	0,000023	-0,000020	-0,000051	0,034846	0,034451	0,034874	0,034958	0,036208	0,035330	0,034490	0,035059	0,034956	0,035216	0,034389
535,00	0,045049	0,045392	0,047355	0,048889	0,065277	0,070467	0,050751	0,056632	0,063132	0,065532	0,055636	0,053720	0,057112	0,049568	-0,000060	0,000002	-0,000007	-0,000026	0,034841	0,034440	0,034869	0,034950	0,036204	0,035323	0,034497	0,035058	0,034970	0,035212	0,034361
536,00	0,044953	0,045259	0,047225	0,048782	0,065284	0,070444	0,050713	0,056555	0,063014	0,065418	0,055512	0,053626	0,057023	0,049482	-0,000069	0,000002	-0,000017	0,000034	0,034768	0,034380	0,034820	0,034917	0,036143	0,035260	0,034446	0,035004	0,034908	0,035177	0,034326
537,00	0,044861	0,045128	0,047106	0,048663	0,065305	0,070450	0,050670	0,056501	0,062916	0,065346	0,055412	0,053530	0,056894	0,049375	-0,000081	0,000000	-0,000021	0,000045	0,034700	0,034315	0,034766	0,034878	0,036080	0,035212	0,034402	0,034955	0,034893	0,035125	0,034281
538,00	0,044758	0,044998	0,046991	0,048550	0,065306	0,070449	0,050615	0,056444	0,062826	0,065287	0,055309	0,053455	0,056784	0,049285	-0,000105	0,000002	-0,000027	0,000048	0,034637	0,034255	0,034715	0,034811	0,036013	0,035164	0,034358	0,034924	0,034885	0,035094	0,034250
539,00	0,044731	0,044949	0,046960	0,048500	0,065366	0,070503	0,050612	0,056430	0,062829	0,065299	0,055300	0,053426	0,056694	0,049217	-0,000110	-0,000013	-0,000032	0,000015	0,034651	0,034270	0,034735	0,034814	0,036025	0,035170	0,034378	0,034951	0,034929	0,035092	0,034249
540,00	0,044689	0,044895	0,046926	0,048457	0,065463	0,070564	0,050631	0,056437	0,062820	0,065305	0,055274	0,053404	0,056612	0,049168	-0,000111	-0,000012	-0,000026	-0,000020	0,034646	0,034264	0,034738	0,034821	0,036019	0,035198	0,034376	0,034956	0,034939	0,035103	0,034242
541,00	0,044664	0,044844	0,046883	0,048424	0,065582	0,070644	0,050661	0,056456	0,062832	0,065296	0,055260	0,053382	0,056525	0,049122	-0,000119	-0,000007	-0,000022	-0,000025	0,034625	0,034280	0,034733	0,034849	0,036020	0,035226	0,034371	0,034965	0,034934	0,035098	0,034243
542,00	0,044583	0,044775	0,046820	0,048356	0,065717	0,070734	0,050692	0,056479	0,062818	0,065279	0,055218	0,053345	0,056427	0,049076	-0,000122	0,000029	-0,000002	-0,000036	0,034599	0,034252	0,034708	0,034878	0,035997	0,035245	0,034346	0,034953	0,034952	0,035098	0,034240
543,00	0,044521	0,044708	0,046755	0,048295	0,065830	0,070801	0,050695	0,056468	0,062790	0,065240	0,055153	0,053289	0,056343	0,049010	-0,000129	0,000018	-0,000017	-0,000026	0,034588	0,034246	0,034698	0,034874	0,035974	0,035244	0,034327	0,034932	0,034918	0,035085	0,034222
544,00	0,044424	0,044615	0,046670	0,048216	0,065930	0,070856	0,050693	0,056437	0,062731	0,065191	0,055065	0,053227	0,056238	0,048924	-0,000136	0,000015	-0,000032	-0,000048	0,034548	0,034194	0,034679	0,034855	0,035915	0,035219	0,034287	0,034898	0,034871	0,035053	0,034165
545,00	0,044348	0,044540	0,046583	0,048155	0,066021	0,070891	0,050680	0,056401	0,062666	0,065164	0,054972	0,053165	0,056108	0,048821	-0,000129	0,000006	-0,000034	-0,000062	0,034497	0,034158	0,034632	0,034789	0,035866	0,035185	0,034241	0,034864	0,034803	0,034977	0,034108
546,00	0,044255	0,044458	0,046491	0,048082	0,066091	0,070911	0,050666	0,056360	0,062622	0,065134	0,054887	0,053081	0,055976	0,048723	-0,000123	0,000010	-0,000028	-0,000057	0,034442	0,034103	0,034587	0,034727	0,035813	0,035127	0,034199	0,034796	0,034748	0,034922	0,034072
547,00	0,044170	0,044369	0,046408	0,048004	0,066205	0,070965	0,050656	0,056346	0,062593	0,065106	0,054813	0,052999	0,055862	0,048650	-0,000105	0,000023	0,000001	-0,000026	0,034397	0,034066	0,034534	0,034661	0,035771	0,035086	0,034152	0,034739	0,034716	0,034863	0,034051
